feedback_id,date,user_id,feedback_type,content,priority,status
FB0001,2026-01-08,U040,界面体验,侧边栏可以收起很方便,低,已解决
FB0002,2026-01-01,U047,界面体验,界面很简洁，很喜欢,低,处理中
FB0003,2026-01-05,U023,功能建议,建议增加API接口,低,处理中
FB0004,2026-01-13,U005,功能建议,希望增加项目模板市场,低,处理中
FB0005,2026-01-08,U025,界面体验,侧边栏可以收起很方便,低,处理中
FB0006,2026-01-06,U036,功能建议,建议增加OKR管理,中,处理中
FB0007,2026-01-01,U011,功能建议,希望支持自定义字段,中,已解决
FB0008,2026-01-06,U034,功能建议,建议增加工作流自动化,中,已解决
FB0009,2026-01-08,U038,界面体验,设计很现代,低,已解决
FB0010,2026-01-14,U020,功能建议,建议增加OKR管理,中,处理中
FB0011,2026-01-28,U037,性能问题,移动端滚动不流畅,高,待处理
FB0012,2026-01-24,U041,功能问题,任务筛选条件不够丰富,高,已解决
FB0013,2026-01-26,U040,功能问题,无法导出项目数据,高,处理中
FB0014,2026-01-26,U034,性能问题,图片加载慢,高,处理中
FB0015,2026-01-28,U022,性能问题,数据统计页面加载慢,高,已解决
FB0016,2026-01-20,U007,功能建议,希望支持第三方集成（如Slack）,低,处理中
FB0017,2026-01-21,U043,功能问题,搜索功能找不到已完成的任务,高,待处理
FB0018,2026-01-26,U010,性能问题,大量任务时看板卡顿,高,已解决
FB0019,2026-01-15,U030,功能建议,建议增加知识库功能,中,处理中
FB0020,2026-01-28,U014,性能问题,移动端滚动不流畅,中,处理中
FB0021,2026-01-26,U033,性能问题,通知推送有延迟,高,待处理
FB0022,2026-01-28,U022,功能问题,无法批量删除任务,中,处理中
FB0023,2026-01-26,U020,功能问题,文件上传失败，没有错误提示,中,处理中
FB0024,2026-01-21,U032,功能建议,希望支持第三方集成（如Slack）,低,待处理
FB0025,2026-01-17,U042,性能问题,文件上传速度慢,中,处理中
FB0026,2026-01-28,U030,功能问题,任务筛选条件不够丰富,高,处理中
FB0027,2026-01-23,U007,性能问题,搜索响应时间长,高,待处理
FB0028,2026-01-23,U044,功能问题,无法批量修改任务状态,中,已解决
FB0029,2026-01-24,U032,性能问题,图片加载慢,中,待处理
FB0030,2026-01-19,U002,功能问题,文件上传失败，没有错误提示,低,待处理
FB0031,2026-01-26,U037,功能问题,无法设置任务依赖关系,中,已解决
FB0032,2026-01-25,U032,功能建议,建议增加AI智能提醒,中,处理中
FB0033,2026-01-22,U035,功能建议,希望支持离线模式,中,待处理
FB0034,2026-01-17,U034,功能建议,希望增加视频会议集成,低,处理中
FB0035,2026-01-20,U032,性能问题,文件上传速度慢,高,处理中
FB0036,2026-01-20,U006,功能问题,任务筛选条件不够丰富,高,已解决
FB0037,2026-01-17,U021,功能建议,希望支持自定义字段,中,已解决
FB0038,2026-01-21,U041,功能问题,看板视图无法自定义列,低,已解决
FB0039,2026-01-17,U017,性能问题,通知推送有延迟,高,已解决
FB0040,2026-01-15,U021,功能建议,希望支持多语言,中,待处理
FB0041,2026-02-07,U037,功能问题,看板拖拽功能在移动端不太好用,中,处理中
FB0042,2026-02-03,U056,界面体验,动画效果很流畅,低,待处理
FB0043,2026-02-04,U017,界面体验,错误提示很清晰,低,已解决
FB0044,2026-02-08,U063,界面体验,动画效果很流畅,低,已解决
FB0045,2026-02-02,U036,功能建议,建议增加团队绩效分析,低,待处理
FB0046,2026-02-09,U007,功能问题,无法导入其他工具的数据,低,已解决
FB0047,2026-02-06,U013,界面体验,夜间模式很实用,低,已解决
