video_id,title,publish_date,publish_hour,views,likes,comments,shares,duration,video_type,conversions,live_uv,peak_online,avg_watch_time,gmv,order_conversion_rate,ad_cost,cpm,roi,danmu_count,gift_count,follow_conversion_rate
V001,数码产品宝藏好物，用过都说好,2026-01-02,18,5850,474,111,99,39,好物推荐,3,3641,265,59,546,0.08,478,81.71,14.23,415,9,2.83
V002,创业者的日常，太真实了,2026-01-15,20,47926,6919,1396,748,18,剧情,7,32231,3225,59,819,0.02,399,8.33,105.26,3205,106,2.48
V003,设计师日常vlog，记录生活,2026-01-17,14,8413,741,133,71,34,剧情,2,5270,682,127,206,0.04,121,14.38,70.25,469,19,1.73
V004,做红烧肉保姆级教程，看完就会,2026-01-10,19,36078,2861,829,237,54,教程,18,25801,2335,67,3168,0.07,308,8.54,928.57,3514,60,4.06
V005,显示器深度测评，值不值得买？,2026-02-14,8,11718,1113,249,60,85,测评,8,7374,447,72,1400,0.11,598,51.03,134.11,914,14,4.2
V006,学生党的一天，看完笑出声,2026-02-17,12,13736,826,315,259,17,剧情,4,8659,846,54,668,0.05,319,23.22,109.4,722,9,2.48
V007,老师的一天，看完笑出声,2026-02-08,21,39315,3181,484,521,39,剧情,13,30290,1997,79,2067,0.04,104,2.65,1887.5,1569,95,1.67
V008,销售日常vlog，记录生活,2026-01-02,21,38314,2405,458,562,35,剧情,5,27801,2810,91,635,0.02,303,7.91,109.57,1822,25,4.27
V009,显示器对比测评，哪个更好用？,2026-01-08,2,11183,769,207,152,59,测评,8,7578,1029,64,800,0.11,653,58.39,22.51,844,9,3.09
V010,设计师搞笑瞬间，笑死我了,2026-01-20,19,41699,4732,635,533,28,剧情,5,32799,1657,45,955,0.02,222,5.32,330.18,3037,89,1.47
V011,理财技巧大公开，学会这招就够了,2026-02-02,17,5315,604,154,68,36,教程,6,3266,168,100,330,0.18,470,88.43,-29.79,729,14,3.06
V012,扫地机器人对比测评，哪个更好用？,2026-02-04,6,17363,1599,394,274,46,测评,8,12089,1339,54,520,0.07,611,35.19,-14.89,1376,39,4.82
